with,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49,0,0,0,0,1.49,1.49,0,1.49,0,0,1.49,0,2.98,0,2.98
call,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22,0,0,0,0,0,0,0,0,10.96,0,0,0,0,0,0
work,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.68,0,0,0,0,0,0,4.67,0,0,0,0,0,0,0,7.01
sent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.47,11.4,0,24.87,25.9,13.47,0,0,65.27,64.24,33.15,0,0,10.36,20.72,72.53
ajax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74,0,0,0,0,0,0,0,2.74,0,0,0,0,0,0,0
is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,3.18,3.18,5.56,0.79,3.18,3.18,0.79,9.54,8.74,2.38,0,1.59,0,0.79,9.54
no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.14,0,0,0,0,0,0,6.14,4.1,0,0,0,0,0,0,6.14
request,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74,0,0,0,0,0,0,0,0,8.22,0,0,0,0,0,0
when,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82,0,0,0,0,0,1.82,0,0,1.82,0,1.82,0,0,0,1.82
making,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74,0,0,0,2.74,0,0,0,0,0,0,0,0,0,0,0
html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,6.14,0,0,0,0,4.1,0,0,0,0,0,0,8.19
browser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74
looks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34,0,0,0,0,0,0,2.34,0,0,0,0,0,0,0,2.34
network,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
does,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74,0,0,0,0,0,0,2.74,0,0,0,0,0,0,0,0
made,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
